id,name,types,description,filename,tokens,lemmas,pos_tags,proper_nouns,named_entities
1,bulbasaur,"['grass', 'poison']",A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,0001_bulbasaur.txt,"['a', 'strange', 'seed', 'was', 'planted', 'on', 'its', 'back', 'at', 'birth', 'the', 'plant', 'sprouts', 'and', 'grows', 'with', 'this', 'pokémon']","['a', 'strange', 'seed', 'be', 'plant', 'on', 'its', 'back', 'at', 'birth', 'the', 'plant', 'sprout', 'and', 'grow', 'with', 'this', 'pokémon']","[('a', 'DT', 'determiner'), ('strange', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('seed', 'NN', 'noun, singular or mass'), ('was', 'VBD', 'verb, past tense'), ('planted', 'VBN', 'verb, past participle'), ('on', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('back', 'NN', 'noun, singular or mass'), ('at', 'IN', 'conjunction, subordinating or preposition'), ('birth', 'NN', 'noun, singular or mass'), ('the', 'DT', 'determiner'), ('plant', 'NN', 'noun, singular or mass'), ('sprouts', 'NNS', 'noun, plural'), ('and', 'CC', 'conjunction, coordinating'), ('grows', 'VBZ', 'verb, 3rd person singular present'), ('with', 'IN', 'conjunction, subordinating or preposition'), ('this', 'DT', 'determiner'), ('pokémon', 'NN', 'noun, singular or mass')]",[],[]
2,ivysaur,"['grass', 'poison']","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",0002_ivysaur.txt,"['when', 'the', 'bulb', 'on', 'its', 'back', 'grows', 'large', 'it', 'appears', 'to', 'lose', 'the', 'ability', 'to', 'stand', 'on', 'its', 'hind', 'legs']","['when', 'the', 'bulb', 'on', 'its', 'back', 'grow', 'large', 'it', 'appear', 'to', 'lose', 'the', 'ability', 'to', 'stand', 'on', 'its', 'hind', 'leg']","[('when', 'WRB', 'wh-adverb'), ('the', 'DT', 'determiner'), ('bulb', 'NN', 'noun, singular or mass'), ('on', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('back', 'NN', 'noun, singular or mass'), ('grows', 'VBZ', 'verb, 3rd person singular present'), ('large', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('it', 'PRP', 'pronoun, personal'), ('appears', 'VBZ', 'verb, 3rd person singular present'), ('to', 'TO', 'infinitival ""to""'), ('lose', 'VB', 'verb, base form'), ('the', 'DT', 'determiner'), ('ability', 'NN', 'noun, singular or mass'), ('to', 'TO', 'infinitival ""to""'), ('stand', 'VB', 'verb, base form'), ('on', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('hind', 'NN', 'noun, singular or mass'), ('legs', 'NNS', 'noun, plural')]",[],[]
3,venusaur,"['grass', 'poison']",The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,0003_venusaur.txt,"['the', 'plant', 'blooms', 'when', 'it', 'is', 'absorbing', 'solar', 'energy', 'it', 'stays', 'on', 'the', 'move', 'to', 'seek', 'sunlight']","['the', 'plant', 'bloom', 'when', 'it', 'be', 'absorb', 'solar', 'energy', 'it', 'stay', 'on', 'the', 'move', 'to', 'seek', 'sunlight']","[('the', 'DT', 'determiner'), ('plant', 'NN', 'noun, singular or mass'), ('blooms', 'NNS', 'noun, plural'), ('when', 'WRB', 'wh-adverb'), ('it', 'PRP', 'pronoun, personal'), ('is', 'VBZ', 'verb, 3rd person singular present'), ('absorbing', 'VBG', 'verb, gerund or present participle'), ('solar', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('energy', 'NN', 'noun, singular or mass'), ('it', 'PRP', 'pronoun, personal'), ('stays', 'VBZ', 'verb, 3rd person singular present'), ('on', 'IN', 'conjunction, subordinating or preposition'), ('the', 'DT', 'determiner'), ('move', 'NN', 'noun, singular or mass'), ('to', 'TO', 'infinitival ""to""'), ('seek', 'VB', 'verb, base form'), ('sunlight', 'NN', 'noun, singular or mass')]",[],[]
4,charmander,['fire'],"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",0004_charmander.txt,"['obviously', 'prefers', 'hot', 'places', 'when', 'it', 'rains', 'steam', 'is', 'said', 'to', 'spout', 'from', 'the', 'tip', 'of', 'its', 'tail']","['obviously', 'prefer', 'hot', 'place', 'when', 'it', 'rain', 'steam', 'be', 'say', 'to', 'spout', 'from', 'the', 'tip', 'of', 'its', 'tail']","[('obviously', 'RB', 'adverb'), ('prefers', 'VBZ', 'verb, 3rd person singular present'), ('hot', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('places', 'NNS', 'noun, plural'), ('when', 'WRB', 'wh-adverb'), ('it', 'PRP', 'pronoun, personal'), ('rains', 'VBZ', 'verb, 3rd person singular present'), ('steam', 'NN', 'noun, singular or mass'), ('is', 'VBZ', 'verb, 3rd person singular present'), ('said', 'VBN', 'verb, past participle'), ('to', 'TO', 'infinitival ""to""'), ('spout', 'VB', 'verb, base form'), ('from', 'IN', 'conjunction, subordinating or preposition'), ('the', 'DT', 'determiner'), ('tip', 'NN', 'noun, singular or mass'), ('of', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('tail', 'NN', 'noun, singular or mass')]",[],[]
5,charmeleon,['fire'],"When it swings its burning tail, it elevates the temperature to unbearably high levels.",0005_charmeleon.txt,"['when', 'it', 'swings', 'its', 'burning', 'tail', 'it', 'elevates', 'the', 'temperature', 'to', 'unbearably', 'high', 'levels']","['when', 'it', 'swing', 'its', 'burn', 'tail', 'it', 'elevate', 'the', 'temperature', 'to', 'unbearably', 'high', 'level']","[('when', 'WRB', 'wh-adverb'), ('it', 'PRP', 'pronoun, personal'), ('swings', 'VBZ', 'verb, 3rd person singular present'), ('its', 'PRP$', 'pronoun, possessive'), ('burning', 'VBG', 'verb, gerund or present participle'), ('tail', 'NN', 'noun, singular or mass'), ('it', 'PRP', 'pronoun, personal'), ('elevates', 'VBZ', 'verb, 3rd person singular present'), ('the', 'DT', 'determiner'), ('temperature', 'NN', 'noun, singular or mass'), ('to', 'IN', 'conjunction, subordinating or preposition'), ('unbearably', 'RB', 'adverb'), ('high', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('levels', 'NNS', 'noun, plural')]",[],[]
6,charizard,"['fire', 'flying']",Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,0006_charizard.txt,"['spits', 'fire', 'that', 'is', 'hot', 'enough', 'to', 'melt', 'boulders', 'known', 'to', 'cause', 'forest', 'fires', 'unintentionally']","['spit', 'fire', 'that', 'be', 'hot', 'enough', 'to', 'melt', 'boulder', 'know', 'to', 'cause', 'forest', 'fire', 'unintentionally']","[('spits', 'VBZ', 'verb, 3rd person singular present'), ('fire', 'NN', 'noun, singular or mass'), ('that', 'WDT', 'wh-determiner'), ('is', 'VBZ', 'verb, 3rd person singular present'), ('hot', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('enough', 'RB', 'adverb'), ('to', 'TO', 'infinitival ""to""'), ('melt', 'VB', 'verb, base form'), ('boulders', 'NNS', 'noun, plural'), ('known', 'VBN', 'verb, past participle'), ('to', 'TO', 'infinitival ""to""'), ('cause', 'VB', 'verb, base form'), ('forest', 'NN', 'noun, singular or mass'), ('fires', 'NNS', 'noun, plural'), ('unintentionally', 'RB', 'adverb')]",[],[]
7,squirtle,['water'],"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",0007_squirtle.txt,"['after', 'birth', 'its', 'back', 'swells', 'and', 'hardens', 'into', 'a', 'shell', 'powerfully', 'sprays', 'foam', 'from', 'its', 'mouth']","['after', 'birth', 'its', 'back', 'swell', 'and', 'harden', 'into', 'a', 'shell', 'powerfully', 'spray', 'foam', 'from', 'its', 'mouth']","[('after', 'IN', 'conjunction, subordinating or preposition'), ('birth', 'NN', 'noun, singular or mass'), ('its', 'PRP$', 'pronoun, possessive'), ('back', 'NN', 'noun, singular or mass'), ('swells', 'NNS', 'noun, plural'), ('and', 'CC', 'conjunction, coordinating'), ('hardens', 'NNS', 'noun, plural'), ('into', 'IN', 'conjunction, subordinating or preposition'), ('a', 'DT', 'determiner'), ('shell', 'NN', 'noun, singular or mass'), ('powerfully', 'RB', 'adverb'), ('sprays', 'VBZ', 'verb, 3rd person singular present'), ('foam', 'NN', 'noun, singular or mass'), ('from', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('mouth', 'NN', 'noun, singular or mass')]",[],[]
8,wartortle,['water'],"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",0008_wartortle.txt,"['often', 'hides', 'in', 'water', 'to', 'stalk', 'unwary', 'prey', 'for', 'swimming', 'fast', 'it', 'moves', 'its', 'ears', 'to', 'maintain', 'balance']","['often', 'hide', 'in', 'water', 'to', 'stalk', 'unwary', 'prey', 'for', 'swim', 'fast', 'it', 'move', 'its', 'ear', 'to', 'maintain', 'balance']","[('often', 'RB', 'adverb'), ('hides', 'VBZ', 'verb, 3rd person singular present'), ('in', 'IN', 'conjunction, subordinating or preposition'), ('water', 'NN', 'noun, singular or mass'), ('to', 'TO', 'infinitival ""to""'), ('stalk', 'VB', 'verb, base form'), ('unwary', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('prey', 'NN', 'noun, singular or mass'), ('for', 'IN', 'conjunction, subordinating or preposition'), ('swimming', 'VBG', 'verb, gerund or present participle'), ('fast', 'RB', 'adverb'), ('it', 'PRP', 'pronoun, personal'), ('moves', 'VBZ', 'verb, 3rd person singular present'), ('its', 'PRP$', 'pronoun, possessive'), ('ears', 'NNS', 'noun, plural'), ('to', 'TO', 'infinitival ""to""'), ('maintain', 'VB', 'verb, base form'), ('balance', 'NN', 'noun, singular or mass')]",[],[]
9,blastoise,['water'],A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,0009_blastoise.txt,"['a', 'brutal', 'pokémon', 'with', 'pressurized', 'water', 'jets', 'on', 'its', 'shell', 'they', 'are', 'used', 'for', 'high', 'speed', 'tackles']","['a', 'brutal', 'pokémon', 'with', 'pressurized', 'water', 'jet', 'on', 'its', 'shell', 'they', 'be', 'use', 'for', 'high', 'speed', 'tackle']","[('a', 'DT', 'determiner'), ('brutal', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('pokémon', 'NN', 'noun, singular or mass'), ('with', 'IN', 'conjunction, subordinating or preposition'), ('pressurized', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('water', 'NN', 'noun, singular or mass'), ('jets', 'NNS', 'noun, plural'), ('on', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('shell', 'NN', 'noun, singular or mass'), ('they', 'PRP', 'pronoun, personal'), ('are', 'VBP', 'verb, non-3rd person singular present'), ('used', 'VBN', 'verb, past participle'), ('for', 'IN', 'conjunction, subordinating or preposition'), ('high', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('speed', 'NN', 'noun, singular or mass'), ('tackles', 'NNS', 'noun, plural')]",[],[]
10,caterpie,['bug'],Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,0010_caterpie.txt,"['its', 'short', 'feet', 'are', 'tipped', 'with', 'suction', 'pads', 'that', 'enable', 'it', 'to', 'tirelessly', 'climb', 'slopes', 'and', 'walls']","['its', 'short', 'foot', 'be', 'tip', 'with', 'suction', 'pad', 'that', 'enable', 'it', 'to', 'tirelessly', 'climb', 'slope', 'and', 'wall']","[('its', 'PRP$', 'pronoun, possessive'), ('short', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('feet', 'NNS', 'noun, plural'), ('are', 'VBP', 'verb, non-3rd person singular present'), ('tipped', 'VBN', 'verb, past participle'), ('with', 'IN', 'conjunction, subordinating or preposition'), ('suction', 'NN', 'noun, singular or mass'), ('pads', 'NNS', 'noun, plural'), ('that', 'WDT', 'wh-determiner'), ('enable', 'VBP', 'verb, non-3rd person singular present'), ('it', 'PRP', 'pronoun, personal'), ('to', 'TO', 'infinitival ""to""'), ('tirelessly', 'RB', 'adverb'), ('climb', 'VB', 'verb, base form'), ('slopes', 'NNS', 'noun, plural'), ('and', 'CC', 'conjunction, coordinating'), ('walls', 'NNS', 'noun, plural')]",[],[]
